id,name,dob,pob
0000069,Frank Sinatra,1915-12-12,"Hoboken, New Jersey, USA"
0000071,James Stewart,1908-05-20,"Indiana, Pennsylvania, USA"
0000072,Elizabeth Taylor,1932-02-27,"Hampstead, London, England, UK"
0000074,Gene Tierney,1920-11-19,"Brooklyn, New York, USA"
0000075,Spencer Tracy,1900-04-05,"Milwaukee, Wisconsin, USA"
0000076,Francois Truffaut,1932-02-06,"Paris, France"
0000078,John Wayne,1907-05-26,"Winterset, Iowa, USA"
0000080,Orson Welles,1915-05-06,"Kenosha, Wisconsin, USA"
0000081,Natalie Wood,1938-07-20,"San Francisco, California, USA"
0000092,John Cleese,1939-10-27,"Weston-Super-Mare, Somerset, England, UK"
0000093,Brad Pitt,1963-12-18,"Shawnee, Oklahoma, USA"
0000095,Woody Allen,1935-12-01,"Brooklyn, New York, USA"
0000098,Jennifer Aniston,1969-02-11,"Sherman Oaks, California, USA"
0000099,Patricia Arquette,1968-04-08,"Chicago, Illinois, USA"
0000100,Rowan Atkinson,1955-01-06,"Newcastle-upon-Tyne, England, UK"
0000101,Dan Aykroyd,1952-07-01,"Ottawa, Ontario, Canada"
0000102,Kevin Bacon,1958-07-08,"Philadelphia, Pennsylvania, USA"
0000103,Fairuza Balk,1974-05-21,"Point Reyes, California, USA"
0000104,Antonio Banderas,1960-08-10,"Malaga, Spain"
0000106,Drew Barrymore,1975-02-22,"Culver City, California, USA"
0000107,Kim Basinger,1953-12-08,"Athens, Georgia, USA"
0000111,Matthew Broderick,1962-03-21,"New York, New York, USA"
0000112,Pierce Brosnan,1953-05-16,"Navan, County Meath, Ireland"
0000113,Sandra Bullock,1964-07-26,"Arlington, Virginia, USA"
0000114,Steve Buscemi,1957-12-13,"Brooklyn, New York, USA"
0000115,Nicolas Cage,1964-01-07,"Long Beach, California, USA"
0000116,James Cameron,1954-08-14,"Kapuskasing, Ontario, Canada"
0000119,Tia Carrere,1967-01-02,"Honolulu, Hawaii, USA"
0000120,Jim Carrey,1962-01-17,"Newmarket, Ontario, Canada"
0000121,Phoebe Cates,1963-07-16,"New York, New York, USA"
0000123,George Clooney,1961-05-06,"Lexington, Kentucky, USA"
0000124,Jennifer Connelly,1970-12-12,"Catskill Mountains, New York, USA"
0000125,Sean Connery,1930-08-25,"Edinburgh, Midlothian, Scotland, UK"
0000126,Kevin Costner,1955-01-18,"Lynwood, California, USA"
0000128,Russell Crowe,1964-04-07,"Wellington, North Island, New Zealand"
0000129,Tom Cruise,1962-07-03,"Syracuse, New York, USA"
0000130,Jamie Lee Curtis,1958-11-22,"Los Angeles, California, USA"
0000131,John Cusack,1966-06-28,"Evanston, Illinois, USA"
0000132,Claire Danes,1979-04-12,"New York, New York, USA"
0000133,Geena Davis,1956-01-21,"Wareham, Massachusetts, USA"
0000134,Robert De Niro,1943-08-17,"New York, New York, USA"
0000136,Johnny Depp,1963-06-09,"Owensboro, Kentucky, USA"
0000138,Leonardo DiCaprio,1974-11-11,"Hollywood, California, USA"
0000139,Cameron Diaz,1972-08-30,"San Diego, California, USA"
0000140,Michael Douglas,1944-09-25,"New Brunswick, New Jersey, USA"
0000142,Clint Eastwood,1930-05-31,"St. Francis Hospital, San Francisco, California, USA"
0000144,Cary Elwes,1962-10-26,"London, England, UK"
0000146,Ralph Fiennes,1962-12-22,"Suffolk, England, UK"
0000148,Harrison Ford,1942-07-13,"Chicago, Illinois, USA"
0000149,Jodie Foster,1962-11-19,"Los Angeles, California, USA"
0000150,Michael J. Fox,1961-06-09,"Edmonton, Alberta, Canada"
0000151,Morgan Freeman,1937-06-01,"Memphis, Tennessee, USA"
0000152,Richard Gere,1949-08-31,"Philadelphia, Pennsylvania, USA"
0000154,Mel Gibson,1956-01-03,"Peekskill, New York, USA"
0000155,Whoopi Goldberg,1955-11-13,"New York, New York, USA"
0000156,Jeff Goldblum,1952-10-22,"Pittsburgh, Pennsylvania, USA"
0000157,Linda Hamilton,1956-09-26,"Salisbury, Maryland, USA"
0000158,Tom Hanks,1956-07-09,"Concord, California, USA"
0000160,Ethan Hawke,1970-11-06,"Austin, Texas, USA"
0000163,Dustin Hoffman,1937-08-08,"Los Angeles, California, USA"
0000164,Anthony Hopkins,1937-12-31,"Margam, near Port Talbot, West Glamorgan, Wales, UK"
0000165,Ron Howard,1954-03-01,"Duncan, Oklahoma, USA"
0000166,Helen Hunt,1963-06-15,"Los Angeles, California, USA"
0000168,Samuel L. Jackson,1948-12-21,"Washington, District of Columbia, USA"
0000169,Tommy Lee Jones,1946-09-15,"San Saba, Texas, USA"
0000172,Harvey Keitel,1939-05-13,"Brooklyn, New York, USA"
0000173,Nicole Kidman,1967-06-20,"Honolulu, Hawaii, USA"
0000174,Val Kilmer,1959-12-31,"Los Angeles, California, USA"
0000177,Kevin Kline,1947-10-24,"St. Louis, Missouri, USA"
0000178,Diane Lane,1965-01-22,"New York, New York, USA"
0000179,Jude Law,1972-12-29,"Lewisham, London, England, UK"
0000180,David Lean,1908-03-25,"Croydon, Surrey, England, UK"
0000184,George Lucas,1944-05-14,"Modesto, California, USA"
0000188,Steve Martin,1945-08-14,"Waco, Texas, USA"
0000191,Ewan McGregor,1971-03-31,"Crieff, Perthshire, Scotland, UK"
0000193,Demi Moore,1962-11-11,"Roswell, New Mexico, USA"
0000194,Julianne Moore,1960-12-03,"Fayetteville, North Carolina, USA"
0000195,Bill Murray,1950-09-21,"Wilmette, Illinois, USA"
0000196,Mike Myers,1963-05-25,"Scarborough, Ontario, Canada"
0000197,Jack Nicholson,1937-04-22,"Neptune, New Jersey, USA"
0000198,Gary Oldman,1958-03-21,"New Cross, London, England, UK"
0000199,Al Pacino,1940-04-25,"South Bronx, New York, New York, USA"
0000200,Bill Paxton,1955-05-17,"Fort Worth, Texas, USA"
0000201,Michelle Pfeiffer,1958-04-29,"Santa Ana, California, USA"
0000204,Natalie Portman,1981-06-09,"Jerusalem, Israel"
0000206,Keanu Reeves,1964-09-02,"Beirut, Lebanon"
0000207,Christina Ricci,1980-02-12,"Santa Monica, California, USA"
0000209,Tim Robbins,1958-10-16,"West Covina, California, USA"
0000210,Julia Roberts,1967-10-28,"Smyrna, Georgia, USA"
0000213,Winona Ryder,1971-10-29,"Winona, Minnesota, USA"
0000215,Susan Sarandon,1946-10-04,"New York City, New York, USA"
0000216,Arnold Schwarzenegger,1947-07-30,"Thal, Styria, Austria"
0000217,Martin Scorsese,1942-11-17,"Queens, New York, USA"
0000218,Kristin Scott Thomas,1960-05-24,"Redruth, Cornwall, England, UK"
0000221,Charlie Sheen,1965-09-03,"New York, New York, USA"
0000223,Elisabeth Shue,1963-10-06,"Wilmington, Delaware, USA"
0000225,Christian Slater,1969-08-18,"New York, New York, USA"
0000226,Will Smith,1968-09-25,"Philadelphia, Pennsylvania, USA"
0000227,Mira Sorvino,1967-09-28,"Tenafly, New Jersey, USA"
0000228,Kevin Spacey,1959-07-26,"South Orange, New Jersey, USA"
0000229,Steven Spielberg,1946-12-18,"Cincinnati, Ohio, USA"
0000230,Sylvester Stallone,1946-07-06,"New York, New York, USA"
0000231,Oliver Stone,1946-09-15,"New York, New York, USA"
0000236,Jennifer Tilly,1958-09-16,"Harbor City, California, USA"
0000237,John Travolta,1954-02-18,"Englewood, New Jersey, USA"
0000239,Liv Tyler,1977-07-01,"Portland, Maine, USA"
0000240,Skeet Ulrich,1970-01-20,"Lynchburg, Virginia, USA"
0000242,Mark Wahlberg,1971-06-05,"Dorchester, Massachusetts, USA"
0000243,Denzel Washington,1954-12-28,"Mount Vernon, New York, USA"
0000244,Sigourney Weaver,1949-10-08,"New York, New York, USA"
0000245,Robin Williams,1952-07-21,"Chicago, Illinois, USA"
0000246,Bruce Willis,1955-03-19,"Idar-Oberstein, West Germany"
0000247,John Woo,1946-05-01,"Guangzhou, China"
0000250,Renee Zellweger,1969-04-25,"Katy, Texas, USA"
0000255,Ben Affleck,1972-08-15,"Berkeley, California, USA"
0000257,Alan Alda,1936-01-28,"New York, New York, USA"
0000261,Karen Allen,1951-10-05,"Carrollton, Illinois, USA"
0000263,Kirstie Alley,1951-01-12,"Wichita, Kansas, USA"
0000267,Julie Andrews,1935-10-01,"Walton-on-Thames, Surrey, England, UK"
0000270,Gabrielle Anwar,1970-02-04,"Laleham, Middlesex, England, UK"
0000271,Anne Archer,1947-08-25,"Los Angeles, California, USA"
0000276,Sean Astin,1971-02-25,"Santa Monica, California, USA"
0000277,Richard Attenborough,1923-08-29,"Cambridge, Cambridgeshire, England, UK"
0000278,Pernilla August,1958-02-13,"Stockholm, Sweden"
0000279,Hank Azaria,1964-04-25,"Queens, New York, USA"
0000285,Alec Baldwin,1958-04-03,"Massapequa, Long Island, New York, USA"
0000286,Stephen Baldwin,1966-05-12,"Massapequa, Long Island, New York, USA"
0000288,Christian Bale,1974-01-30,"Haverfordwest, Pembrokeshire, Wales, UK"
0000289,Ellen Barkin,1954-04-16,"New York, New York, USA"
0000293,Sean Bean,1959-04-17,"Sheffield, Yorkshire, England, UK"
0000295,Kate Beckinsale,1973-07-26,"London, England, UK"
0000297,Tom Berenger,1949-05-31,"Chicago, Illinois, USA"
0000298,Candice Bergen,1946-05-09,"Beverly Hills, Los Angeles, California, USA"
0000300,Juliette Binoche,1964-03-09,"Paris, France"
0000301,Thora Birch,1982-03-11,"Los Angeles, California, USA"
0000302,Jacqueline Bisset,1944-09-13,"Weybridge, Surrey, England, UK"
0000306,Brian Blessed,1937-10-09,"Mexborough, Yorkshire, England, UK"
0000307,Helena Bonham Carter,1966-05-26,"Golders Green, London, England, UK"
0000308,Ernest Borgnine,1917-01-24,"Hamden, Connecticut, USA"
0000313,Jeff Bridges,1949-12-04,"Los Angeles, California, USA"
0000318,Tim Burton,1958-08-25,"Burbank, California, USA"
0000321,Gabriel Byrne,1950-05-12,"Dublin, Ireland"
0000322,Emmanuelle Beart,1965-08-14,"St. Tropez, Var, Provence-Alpes-Cote d'Azur, France"
0000329,Jackie Chan,1954-04-07,Hong Kong
0000330,Stockard Channing,1944-02-13,"New York, New York, USA"
0000333,Cher,1946-05-20,"El Centro, California, USA"
0000332,Don Cheadle,1964-11-29,"Kansas City, Missouri, USA"
0000334,Yun-Fat Chow,1955-05-18,"Lamma Island, Hong Kong"
0000335,Glenn Close,1947-03-19,"Greenwich, Connecticut, USA"
0000336,James Coburn,1928-08-31,"Laurel, Nebraska, USA"
0000338,Francis Ford Coppola,1939-04-07,"Detroit, Michigan, USA"
0000342,James Cromwell,1940-01-27,"Los Angeles, California, USA"
0000345,Billy Crystal,1947-03-14,"Long Beach, Long Island, New York, USA"
0000346,Macaulay Culkin,1980-08-26,"New York, New York, USA"
0000347,Tim Curry,1946-04-19,"Grappnhall, Cheshire, England, UK"
0000349,Joan Cusack,1962-10-11,"New York, USA"
0000352,Vincent D'Onofrio,1959-06-30,"Brooklyn, New York, USA"
0000353,Willem Dafoe,1955-07-22,"Appleton, Wisconsin, USA"
0000354,Matt Damon,1970-10-08,"Cambridge, Massachusetts, USA"
0000355,Anthony Daniels,1946-02-21,"Salisbury, Wiltshire, England, UK"
0000358,Daniel Day-Lewis,1957-04-29,"London, England, UK"
0000360,Rebecca De Mornay,1962-08-29,"Santa Rosa, California, USA"
0000361,Brian De Palma,1940-09-11,"Newark, New Jersey, USA"
0000362,Danny DeVito,1944-11-17,"Neptune, New Jersey, USA"
0000368,Laura Dern,1967-02-10,"Los Angeles, California, USA"
0000369,Matt Dillon,1964-02-18,"New Rochelle, New York, USA"
0000377,Richard Dreyfuss,1947-10-29,"Brooklyn, New York, USA"
0000378,Minnie Driver,1970-01-31,"London, England, UK"
0000379,Kirsten Dunst,1982-04-30,"Point Pleasant, New Jersey, USA"
0000380,Robert Duvall,1931-01-05,"San Diego, California, USA"
0000381,Anthony Edwards,1962-07-19,"Santa Barbara, California, USA"
0000385,Sam Elliott,1944-08-09,"Sacramento, California, USA"
0000386,Roland Emmerich,1955-11-10,"Stuttgart, Baden-Wurttemberg, Germany"
0000388,R. Lee Ermey,1944-03-24,"Emporia, Kansas, USA"
0000398,Sally Field,1946-11-06,"Pasadena, California, USA"
0000400,Linda Fiorentino,1960-03-09,"Philadelphia, Pennsylvania, USA"
0000401,Laurence Fishburne,1961-07-30,"Augusta, Georgia, USA"
0000402,Carrie Fisher,1956-10-21,"Beverly Hills, Los Angeles, California, USA"
0000404,Jane Fonda,1937-12-21,"New York, New York, USA"
0000406,John Ford,1894-02-01,"Cape Elizabeth, Maine, USA"
0000409,Brendan Fraser,1968-12-03,"Indianapolis, Indiana, USA"
0000411,Edward Furlong,1977-08-02,"Pasadena, California, USA"
0000412,Andy Garcia,1956-04-12,"Havana, Cuba"
0000414,Teri Garr,1949-12-11,"Lakewood, Ohio, USA"
0000415,Jami Gertz,1965-10-28,"Chicago, Illinois, USA"
0000416,Terry Gilliam,1940-11-22,"Minneapolis, Minnesota, USA"
0000417,Crispin Glover,1964-04-20,"New York, New York, USA"
0000418,Danny Glover,1946-07-22,"San Francisco, California, USA"
0000420,Valeria Golino,1966-10-22,"Naples, Campania, Italy"
0000421,Cuba Gooding Jr.,1968-01-02,"The Bronx, New York, USA"
0000422,John Goodman,1952-06-20,"St. Louis, Missouri, USA"
0000430,Steve Guttenberg,1958-08-24,"New York, New York, USA"
0000431,Taylor Hackford,1944-12-31,"Santa Barbara, California, USA"
0000432,Gene Hackman,1930-01-30,"San Bernardino, California, USA"
0000434,Mark Hamill,1951-09-25,"Oakland, California, USA"
0000436,Curtis Hanson,1945-03-24,"Reno, Nevada, USA"
0000438,Ed Harris,1950-11-28,"Englewood, New Jersey, USA"
0000443,Goldie Hawn,1945-11-21,"Washington, District of Columbia, USA"
0000450,Philip Seymour Hoffman,1967-07-23,"Fairport, New York, USA"
0000452,Lauren Holly,1963-10-28,"Bristol, Pennsylvania, USA"
0000456,Holly Hunter,1958-03-20,"Conyers, Georgia, USA"
0000458,William Hurt,1950-03-20,"Washington, District of Columbia, USA"
0000459,Timothy Hutton,1960-08-16,"Malibu, California, USA"
0000460,Jeremy Irons,1948-09-19,"Cowes, Isle of Wight, England, UK"
0000463,Famke Janssen,1965-11-05,"Amsterdam, Noord-Holland, Netherlands"
0000469,James Earl Jones,1931-01-17,"Arkabutla, Mississippi, USA"
0000470,Jeffrey Jones,1947-09-28,"Buffalo, New York, USA"
0000471,Raul Julia,1940-03-09,"San Juan, Puerto Rico"
0000473,Diane Keaton,1946-01-05,"Los Angeles, California, USA"
0000474,Michael Keaton,1951-09-05,"Coraopolis, Pennsylvania, USA"
0000480,Elias Koteas,1961-03-11,"Montreal, Quebec, Canada"
0000484,John Landis,1950-08-03,"Chicago, Illinois, USA"
0000487,Ang Lee,1954-10-23,"Pingtung, Taiwan"
0000489,Christopher Lee,1922-05-27,"Belgravia, London, England, UK"
0000491,John Leguizamo,1964-07-22,"Bogota, Colombia"
0000493,Jack Lemmon,1925-02-08,"Newton, Massachusetts, USA"
0000495,Tea Leoni,1966-02-25,"New York, New York, USA"
0000498,Matthew Lillard,1970-01-24,"Lansing, Michigan, USA"
0000501,Ray Liotta,1955-12-18,"Newark, New Jersey, USA"
0000502,Christopher Lloyd,1938-10-22,"Stamford, Connecticut, USA"
0000504,Amy Locane,1971-12-19,"Trenton, New Jersey, USA"
0000506,Julia Louis-Dreyfus,1961-01-13,"New York, New York, USA"
0000507,Rob Lowe,1964-03-17,"Charlottesville, Virginia, USA"
0000511,Shirley MacLaine,1934-04-24,"Richmond, Virginia, USA"
0000513,William H. Macy,1950-03-13,"Miami, Florida, USA"
0000518,John Malkovich,1953-12-09,"Christopher, Illinois, USA"
0000527,Walter Matthau,1920-10-01,"New York City, New York, USA"
0000531,Frances McDormand,1957-06-23,"Chicago, Illinois, USA"
0000534,Kelly McGillis,1957-07-09,"Newport Beach, California, USA"
0000547,Alfred Molina,1953-05-24,"London, England, UK"
0000552,Eddie Murphy,1961-04-03,"Brooklyn, New York, USA"
0000553,Liam Neeson,1952-06-07,"Ballymena, Co. Antrim, Northern Ireland, UK"
0000554,Sam Neill,1947-09-14,"Omagh, Co. Tyrone, Northern Ireland, UK"
0000556,Olivia Newton-John,1948-09-26,"Cambridge, Cambridgeshire, England, UK"
0000557,Brigitte Nielsen,1963-07-15,"Rodovre, Denmark"
0000559,Leonard Nimoy,1931-03-26,"Boston, Massachusetts, USA"
0000560,Nick Nolte,1941-02-08,"Omaha, Nebraska, USA"
0000563,Chris O'Donnell,1970-06-26,"Winnetka, Illinois, USA"
0000564,Peter O'Toole,1932-08-02,"Connemara, County Galway, Ireland"
0000569,Gwyneth Paltrow,1972-09-28,"Los Angeles, California, USA"
0000572,Sarah Jessica Parker,1965-03-25,"Nelsonville, Ohio, USA"
0000576,Sean Penn,1960-08-17,"Santa Monica, California, USA"
0000581,Joseph L. Mankiewicz,1909-02-11,"Wilkes-Barre, Pennsylvania, USA"
0000582,Joe Pesci,1943-02-09,"Newark, New Jersey, USA"
0000583,Wolfgang Petersen,1941-03-14,"Emden, Lower Saxony, Germany"
0000586,Jada Pinkett Smith,1971-09-18,"Baltimore, Maryland, USA"
0000591,Roman Polanski,1933-08-18,"Paris, France"
0000592,Pete Postlethwaite,1945-02-07,"Warrington, Cheshire, England, UK"
0000593,Kelly Preston,1962-10-13,"Honolulu, Hawaii, USA"
0000597,Bill Pullman,1953-12-17,"Hornell, New York, USA"
0000598,Dennis Quaid,1954-04-09,"Houston, Texas, USA"
0000600,Sam Raimi,1959-10-23,"Franklin, Michigan, USA"
0000601,Harold Ramis,1944-11-21,"Chicago, Illinois, USA"
0000602,Robert Redford,1937-08-18,"Santa Monica, California, USA"
0000603,Vanessa Redgrave,1937-01-30,"London, England, UK"
0000604,John C. Reilly,1965-05-24,"Chicago, Illinois, USA"
0000606,Jean Reno,1948-07-30,"Casablanca, Morocco"
0000608,Burt Reynolds,1936-02-11,"Waycross, Georgia, USA"
0000609,Ving Rhames,1959-05-12,"New York, New York, USA"
0000613,Joely Richardson,1965-01-09,"London, England, UK"
0000614,Alan Rickman,1946-02-21,"Hammersmith, London, England, UK"
0000619,Tim Roth,1961-05-14,"London, England, UK"
0000623,Rene Russo,1954-02-17,"Burbank, California, USA"
0000624,Laura San Giacomo,1962-11-14,"West Orange or Hoboken, New Jersey, USA"
0000631,Ridley Scott,1937-11-30,"South Shields, Tyne and Wear, England, UK"
0000633,Tom Selleck,1945-01-29,"Detroit, Michigan, USA"
0000634,Peter Sellers,1925-09-08,"Southsea, Hampshire, England, UK"
0000640,Martin Sheen,1940-08-03,"Dayton, Ohio, USA"
0000641,Gary Sinise,1955-03-17,"Blue Island, Illinois, USA"
0000643,Tom Skerritt,1933-08-25,"Detroit, Michigan, USA"
0000644,Helen Slater,1963-12-15,"Massapequa, Long Island, New York, USA"
0000649,Paul Sorvino,1939-04-13,"Brooklyn, New York, USA"
0000651,Sissy Spacek,1949-12-25,"Quitman, Texas, USA"
0000658,Meryl Streep,1949-06-22,"Summit, New Jersey, USA"
0000659,Barbra Streisand,1942-04-24,"Brooklyn, New York, USA"
0000661,Donald Sutherland,1935-07-17,"Saint John, New Brunswick, Canada"
0000662,Kiefer Sutherland,1966-12-21,"London, England, UK"
0000664,Patrick Swayze,1952-08-18,"Houston, Texas, USA"
0000665,D.B. Sweeney,1961-11-14,"Shoreham, New York, USA"
0000668,Emma Thompson,1959-04-15,"Paddington, London, England, UK"
0000670,Lea Thompson,1961-05-31,"Rochester, Minnesota, USA"
0000671,Billy Bob Thornton,1955-08-04,"Hot Springs, Arkansas, USA"
0000673,Marisa Tomei,1964-12-04,"Brooklyn, New York, USA"
0000675,Jeanne Tripplehorn,1963-06-10,"Tulsa, Oklahoma, USA"
0000676,Chris Tucker,1972-08-31,"Atlanta, Georgia, USA"
0000678,Kathleen Turner,1954-06-19,"Springfield, Missouri, USA"
0000681,Vince Vaughn,1970-03-28,"Minneapolis, Minnesota, USA"
0000685,Jon Voight,1938-12-29,"Yonkers, New York, USA"
0000686,Christopher Walken,1943-03-31,"Queens, New York, USA"
0000688,Sela Ward,1956-07-11,"Meridian, Mississippi, USA"
0000697,Billy Wilder,1906-06-22,"Sucha, Austria-Hungary. [now in Poland]"
0000700,Debra Winger,1955-05-16,"Cleveland Heights, Ohio, USA"
0000701,Kate Winslet,1975-10-05,"Reading, Berkshire, England, UK"
0000702,Reese Witherspoon,1976-03-22,"Baton Rouge, Louisiana, USA"
0000704,Elijah Wood,1981-01-28,"Cedar Rapids, Iowa, USA"
0000705,Robin Wright,1966-04-08,"Dallas, Texas, USA"
0000706,Michelle Yeoh,1962-08-06,"Ipoh, Perak, Malaysia"
0000708,Billy Zane,1966-02-24,"Chicago, Illinois, USA"
0000709,Robert Zemeckis,1952-05-14,"Chicago, Illinois, USA"
0000716,Paula Abdul,1962-06-19,"San Fernando, California, USA"
0000719,F. Murray Abraham,1939-10-24,"Pittsburgh, Pennsylvania, USA"
0000722,Joss Ackland,1928-02-29,"North Kensington, London, England, UK"
0000725,Joey Lauren Adams,1971-01-06,"Little Rock, Arkansas, USA"
0000732,Danny Aiello,1933-06-20,"Brooklyn, New York, USA"
0000734,Eddie Albert,1908-04-22,"Rock Island, Illinois, USA"
0000737,Jane Alexander,1939-10-28,"Boston, Massachusetts, USA"
0000741,Tim Allen,1953-06-13,"Denver, Colorado, USA"
0000747,Don Ameche,1908-05-31,"Kenosha, Wisconsin, USA"
0000752,Judith Anderson,1897-02-10,"Adelaide, South Australia, Australia"
0000763,Dana Andrews,1909-01-01,"Covington County, Mississippi, USA"
0000776,Michael Apted,1941-02-10,"Aylesbury, Buckinghamshire, England, UK"
0000781,Eve Arden,1908-04-30,"Mill Valley, California, USA"
0000782,Asia Argento,1975-09-20,"Rome, Italy"
0000792,Tom Arnold,1959-03-06,"Ottumwa, Iowa, USA"
0000795,Jean Arthur,1900-10-17,"Plattsburg, New York, USA"
0000797,Hal Ashby,1929-09-02,"Ogden, Utah, USA"
0000799,Edward Asner,1929-11-15,"Kansas City, Kansas, USA"
0000802,Mary Astor,1906-05-03,"Quincy, Illinois, USA"
0000814,John G. Avildsen,1935-12-21,"Oak Park, Illinois, USA"
0000817,Lew Ayres,1908-12-28,"Minneapolis, Minnesota, USA"
0000824,John Badham,1939-08-25,"Luton, Bedfordshire, England, UK"
0000825,Mary Badham,1952-10-07,"Birmingham, Alabama, USA"
0000837,Bob Balaban,1945-08-16,"Chicago, Illinois, USA"
0000842,Martin Balsam,1914-11-04,"The Bronx, New York, USA"
0000843,Anne Bancroft,1931-09-17,"The Bronx, New York, USA"
0000855,Raymond J. Barry,1939-03-14,"Hempstead, Long Island, New York, USA"
0000856,Ethel Barrymore,1879-08-15,"Philadelphia, Pennsylvania, USA"
0000858,John Barrymore,1882-02-14,"Philadelphia, Pennsylvania, USA"
0000859,Lionel Barrymore,1878-04-28,"Philadelphia, Pennsylvania, USA"
0000861,Freddie Bartholomew,1924-03-28,"Dublin, Ireland"
0000869,Alan Bates,1934-02-17,"Allestree, Derbyshire, England, UK"
0000870,Kathy Bates,1948-06-28,"Memphis, Tennessee, USA"
0000879,Anne Baxter,1923-05-07,"Michigan City, Indiana, USA"
0000881,Michael Bay,1965-02-17,"Los Angeles, California, USA"
0000882,Nathalie Baye,1948-07-06,"Mainneville, France"
0000885,Ned Beatty,1937-07-06,"Louisville, Kentucky, USA"
0000886,Warren Beatty,1937-03-30,"Richmond, Virginia, USA"
0000891,Wallace Beery,1885-04-01,"Kansas City, Missouri, USA"
0000897,Ralph Bellamy,1904-06-17,"Chicago, Illinois, USA"
0000899,Monica Bellucci,1964-09-30,"Citta di Castello, Perugia, Italy"
0000901,Jean-Paul Belmondo,1933-04-09,"Neuilly-sur-Seine, Hauts-de-Seine, France"
0000905,Roberto Benigni,1952-10-27,"Misericordia, Arezzo, Tuscany, Italy"
0000906,Annette Bening,1958-05-29,"Topeka, Kansas, USA"
0000907,Richard Benjamin,1938-05-22,"New York, New York, USA"
0000913,Robby Benson,1956-01-21,"Dallas, Texas, USA"
0000914,Robert Benton,1932-09-29,"Waxahachie, Texas, USA"
0000915,Bruce Beresford,1940-08-16,"Sydney, New South Wales, Australia"
0000925,Steven Berkoff,1937-08-03,"London, England, UK"
0000931,Elizabeth Berridge,1962-05-02,"Westchester, New York, USA"
0000932,Halle Berry,1966-08-14,"Cleveland, Ohio, USA"
0000934,Bernardo Bertolucci,1940-03-16,"Parma, Emilia-Romagna, Italy"
0000937,Richard Beymer,1938-02-20,"Avoca, Iowa, USA"
0000942,Theodore Bikel,1924-05-02,"Vienna, Austria"
0000946,Whit Bissell,1909-10-25,"New York, New York, USA"
0000949,Cate Blanchett,1969-05-14,"Melbourne, Victoria, Australia"
0000951,Joan Blondell,1906-08-30,"New York, New York, USA"
0000953,Peter Bogdanovich,1939-07-30,"Kingston, New York, USA"
0000955,Ward Bond,1903-04-09,"Benkelman, Nebraska, USA"
